Invoice ID,Customer,Email,Invoice Date,Due Date,Amount,Status,Reminder Sent,Days Late,Risk Score,Payment Notes
INV-1001,Acme Corp,billing@acmecorp.io,2026-05-01,2026-05-31,4200.00,Paid,N/A,0,-,Paid in full via ACH transfer
INV-1002,Globex Industries,ap@globexindustries.com,2026-04-15,2026-05-15,8750.50,Paid,N/A,0,-,Paid 5 days late via wire transfer
INV-1003,Initech LLC,accounts@initech.com,2026-06-01,2026-06-30,1500.00,Paid,N/A,0,-,Paid via credit card
INV-1004,Umbrella Group,finance@umbrellagroup.com,2026-03-10,2026-04-09,12300.00,Paid,N/A,0,-,Settled - check #4521 cleared
INV-1005,Stark Industries,payables@starkindustries.com,2026-05-20,2026-06-19,25600.00,Paid,N/A,0,-,Paid in full via ACH transfer
INV-1006,Wayne Enterprises,ap@wayneenterprises.com,2026-06-10,2026-07-10,3400.00,Paid,N/A,0,-,Paid early - autopay enabled
INV-1007,Wonka Manufacturing,billing@wonkamfg.com,2026-04-01,2026-05-01,980.75,Paid,N/A,0,-,Paid via credit card
INV-1008,Hooli Inc,finance@hooli.com,2026-05-05,2026-06-04,15200.00,Paid,N/A,0,-,Paid in full via wire transfer
INV-1009,Soylent Corp,ap@soylentcorp.com,2026-06-15,2026-07-15,2750.00,Paid,N/A,0,-,Paid early - loyalty discount applied
INV-1010,Vandelay Industries,accounts@vandelayindustries.com,2026-03-25,2026-04-24,6100.00,Paid,N/A,0,-,Settled - check #3110 cleared
INV-1011,Pied Piper,billing@piedpiper.com,2026-06-20,2026-07-20,4500.00,Pending,No,0,-,Invoice sent - awaiting payment
INV-1012,Massive Dynamic,ap@massivedynamic.com,2026-06-25,2026-07-25,9800.00,Pending,No,0,-,Recurring monthly service invoice
INV-1013,Cyberdyne Systems,finance@cyberdynesystems.com,2026-06-28,2026-07-28,3200.00,Pending,No,0,-,Invoice sent - awaiting payment
INV-1014,Gringotts Bank,payables@gringottsbank.com,2026-06-29,2026-07-29,18700.00,Pending,No,0,-,Invoice sent - awaiting payment
INV-1015,Oscorp Industries,ap@oscorp.com,2026-05-30,2026-06-29,5400.00,Overdue,No,2,Low,Customer contacted - payment expected this week
INV-1016,Aperture Labs,billing@aperturelabs.com,2026-05-28,2026-06-27,2100.00,Overdue,1st Reminder,4,Low,First reminder sent automatically
INV-1017,Tyrell Corp,accounts@tyrellcorp.com,2026-05-27,2026-06-26,7650.00,Overdue,1st Reminder,5,Low,First reminder sent automatically
INV-1018,Weyland-Yutani,ap@weyland-yutani.com,2026-05-31,2026-06-30,1200.00,Overdue,No,1,Low,Invoice just went past due
INV-1019,Prestige Worldwide,finance@prestigeworldwide.com,2026-05-21,2026-06-20,8900.00,Overdue,1st Reminder,11,Medium,Follow-up call scheduled
INV-1020,Sterling Cooper,billing@sterlingcooper.com,2026-05-19,2026-06-18,15400.00,Overdue,2nd Reminder,13,Medium,Customer requested short extension
INV-1021,Acme Corp,billing@acmecorp.io,2026-05-23,2026-06-22,3300.00,Overdue,1st Reminder,9,Medium,Follow-up call scheduled
INV-1022,Globex Industries,ap@globexindustries.com,2026-05-17,2026-06-16,22000.00,Overdue,2nd Reminder,15,Medium,Customer requested short extension
INV-1023,Initech LLC,accounts@initech.com,2026-05-25,2026-06-24,4750.00,Overdue,No,7,Medium,Awaiting response to first reminder
INV-1024,Umbrella Group,finance@umbrellagroup.com,2026-05-11,2026-06-10,31000.00,Overdue,2nd Reminder,21,High,Escalated to account manager
INV-1025,Stark Industries,payables@starkindustries.com,2026-05-06,2026-06-05,9250.00,Overdue,2nd Reminder,26,High,No response to first reminder
INV-1026,Wayne Enterprises,ap@wayneenterprises.com,2026-05-14,2026-06-13,6600.00,Overdue,1st Reminder,18,High,Escalated to account manager
INV-1027,Wonka Manufacturing,billing@wonkamfg.com,2026-05-04,2026-06-03,1980.00,Overdue,2nd Reminder,28,High,No response to second reminder
INV-1028,Hooli Inc,finance@hooli.com,2026-05-13,2026-06-12,27500.00,Overdue,No,19,High,Flagged for finance team review
INV-1029,Soylent Corp,ap@soylentcorp.com,2026-04-28,2026-05-28,41200.00,Overdue,Final Notice,34,Escalate,Referred to collections review
INV-1030,Vandelay Industries,accounts@vandelayindustries.com,2026-04-15,2026-05-15,5600.00,Overdue,Final Notice,47,Escalate,Legal/collections notice pending
INV-1031,Pied Piper,billing@piedpiper.com,2026-03-21,2026-04-20,12800.00,Overdue,Final Notice,72,Escalate,Customer unresponsive - 3 reminders sent
INV-1032,Massive Dynamic,ap@massivedynamic.com,2026-04-01,2026-05-01,89000.00,Overdue,2nd Reminder,61,Escalate,High-value account - CFO notified
